#
# Feature name:          THP
#         Kconfig:       HAVE_ARCH_TRANSPARENT_HUGEPAGE
#         description:   arch supports transparent hugepages
#
    -----------------------
    |         arch |status|
    -----------------------
    |       alpha: | TODO |
    |         arc: |  ok  |
    |         arm: |  ok  |
    |       arm64: |  ok  |
    |        csky: |  ..  |
    |     hexagon: |  ..  |
    |        ia64: | TODO |
    |   loongarch: |  ok  |
    |        m68k: |  ..  |
    |  microblaze: |  ..  |
    |        mips: |  ok  |
    |       nios2: |  ..  |
    |    openrisc: |  ..  |
    |      parisc: | TODO |
    |     powerpc: |  ok  |
    |       riscv: |  ok  |
    |        s390: |  ok  |
    |          sh: |  ..  |
    |       sparc: |  ok  |
    |          um: |  ..  |
    |         x86: |  ok  |
    |      xtensa: |  ..  |
    -----------------------
