# DerivedNormalizationProps-4.0.1.txt
# Date: 2004-03-02, 02:42:17 GMT [MD]
#
# Unicode Character Database
# Copyright (c) 1991-2004 Unicode, Inc.
# For terms of use, see http://www.unicode.org/terms_of_use.html
# For documentation, see UCD.html

# ================================================

# Derived Property: FC_NFKC_Closure
#  Generated from computing: b = NFKC(Fold(a)); c = NFKC(Fold(b));
#  Then if (c != b) add the mapping from a to c to the set of
#  mappings that constitute the FC_NFKC_Closure list
#  Uses the full case folding from CaseFolding.txt, without the T option.

037A  ; FC_NFKC; 0020 03B9      # Lm  GREEK YPOGEGRAMMENI
03D2  ; FC_NFKC; 03C5           # L&  GREEK UPSILON WITH HOOK SYMBOL
03D3  ; FC_NFKC; 03CD           # L&  GREEK UPSILON WITH ACUTE AND HOOK SYMBOL
03D4  ; FC_NFKC; 03CB           # L&  GREEK UPSILON WITH DIAERESIS AND HOOK SYMBOL
03F2  ; FC_NFKC; 03C3           # L&  GREEK LUNATE SIGMA SYMBOL
03F9  ; FC_NFKC; 03C3           # L&  GREEK CAPITAL LUNATE SIGMA SYMBOL
1D2C  ; FC_NFKC; 0061           # Lm  MODIFIER LETTER CAPITAL A
1D2D  ; FC_NFKC; 00E6           # Lm  MODIFIER LETTER CAPITAL AE
1D2E  ; FC_NFKC; 0062           # Lm  MODIFIER LETTER CAPITAL B
1D30  ; FC_NFKC; 0064           # Lm  MODIFIER LETTER CAPITAL D
1D31  ; FC_NFKC; 0065           # Lm  MODIFIER LETTER CAPITAL E
1D32  ; FC_NFKC; 01DD           # Lm  MODIFIER LETTER CAPITAL REVERSED E
1D33  ; FC_NFKC; 0067           # Lm  MODIFIER LETTER CAPITAL G
1D34  ; FC_NFKC; 0068           # Lm  MODIFIER LETTER CAPITAL H
1D35  ; FC_NFKC; 0069           # Lm  MODIFIER LETTER CAPITAL I
1D36  ; FC_NFKC; 006A           # Lm  MODIFIER LETTER CAPITAL J
1D37  ; FC_NFKC; 006B           # Lm  MODIFIER LETTER CAPITAL K
1D38  ; FC_NFKC; 006C           # Lm  MODIFIER LETTER CAPITAL L
1D39  ; FC_NFKC; 006D           # Lm  MODIFIER LETTER CAPITAL M
1D3A  ; FC_NFKC; 006E           # Lm  MODIFIER LETTER CAPITAL N
1D3C  ; FC_NFKC; 006F           # Lm  MODIFIER LETTER CAPITAL O
1D3D  ; FC_NFKC; 0223           # Lm  MODIFIER LETTER CAPITAL OU
1D3E  ; FC_NFKC; 0070           # Lm  MODIFIER LETTER CAPITAL P
1D3F  ; FC_NFKC; 0072           # Lm  MODIFIER LETTER CAPITAL R
1D40  ; FC_NFKC; 0074           # Lm  MODIFIER LETTER CAPITAL T
1D41  ; FC_NFKC; 0075           # Lm  MODIFIER LETTER CAPITAL U
1D42  ; FC_NFKC; 0077           # Lm  MODIFIER LETTER CAPITAL W
20A8  ; FC_NFKC; 0072 0073      # Sc  RUPEE SIGN
2102  ; FC_NFKC; 0063           # L&  DOUBLE-STRUCK CAPITAL C
2103  ; FC_NFKC; 00B0 0063      # So  DEGREE CELSIUS
2107  ; FC_NFKC; 025B           # L&  EULER CONSTANT
2109  ; FC_NFKC; 00B0 0066      # So  DEGREE FAHRENHEIT
210B  ; FC_NFKC; 0068           # L&  SCRIPT CAPITAL H
210C  ; FC_NFKC; 0068           # L&  BLACK-LETTER CAPITAL H
210D  ; FC_NFKC; 0068           # L&  DOUBLE-STRUCK CAPITAL H
2110  ; FC_NFKC; 0069           # L&  SCRIPT CAPITAL I
2111  ; FC_NFKC; 0069           # L&  BLACK-LETTER CAPITAL I
2112  ; FC_NFKC; 006C           # L&  SCRIPT CAPITAL L
2115  ; FC_NFKC; 006E           # L&  DOUBLE-STRUCK CAPITAL N
2116  ; FC_NFKC; 006E 006F      # So  NUMERO SIGN
2119  ; FC_NFKC; 0070           # L&  DOUBLE-STRUCK CAPITAL P
211A  ; FC_NFKC; 0071           # L&  DOUBLE-STRUCK CAPITAL Q
211B  ; FC_NFKC; 0072           # L&  SCRIPT CAPITAL R
211C  ; FC_NFKC; 0072           # L&  BLACK-LETTER CAPITAL R
211D  ; FC_NFKC; 0072           # L&  DOUBLE-STRUCK CAPITAL R
2120  ; FC_NFKC; 0073 006D      # So  SERVICE MARK
2121  ; FC_NFKC; 0074 0065 006C # So  TELEPHONE SIGN
2122  ; FC_NFKC; 0074 006D      # So  TRADE MARK SIGN
2124  ; FC_NFKC; 007A           # L&  DOUBLE-STRUCK CAPITAL Z
2128  ; FC_NFKC; 007A           # L&  BLACK-LETTER CAPITAL Z
212C  ; FC_NFKC; 0062           # L&  SCRIPT CAPITAL B
212D  ; FC_NFKC; 0063           # L&  BLACK-LETTER CAPITAL C
2130  ; FC_NFKC; 0065           # L&  SCRIPT CAPITAL E
2131  ; FC_NFKC; 0066           # L&  SCRIPT CAPITAL F
2133  ; FC_NFKC; 006D           # L&  SCRIPT CAPITAL M
213B  ; FC_NFKC; 0066 0061 0078 # So  FACSIMILE SIGN
213E  ; FC_NFKC; 03B3           # L&  DOUBLE-STRUCK CAPITAL GAMMA
213F  ; FC_NFKC; 03C0           # L&  DOUBLE-STRUCK CAPITAL PI
2145  ; FC_NFKC; 0064           # L&  DOUBLE-STRUCK ITALIC CAPITAL D
3250  ; FC_NFKC; 0070 0074 0065 # So  PARTNERSHIP SIGN
32CC  ; FC_NFKC; 0068 0067      # So  SQUARE HG
32CE  ; FC_NFKC; 0065 0076      # So  SQUARE EV
32CF  ; FC_NFKC; 006C 0074 0064 # So  LIMITED LIABILITY SIGN
3371  ; FC_NFKC; 0068 0070 0061 # So  SQUARE HPA
3373  ; FC_NFKC; 0061 0075      # So  SQUARE AU
3375  ; FC_NFKC; 006F 0076      # So  SQUARE OV
337A  ; FC_NFKC; 0069 0075      # So  SQUARE IU
3380  ; FC_NFKC; 0070 0061      # So  SQUARE PA AMPS
3381  ; FC_NFKC; 006E 0061      # So  SQUARE NA
3382  ; FC_NFKC; 03BC 0061      # So  SQUARE MU A
3383  ; FC_NFKC; 006D 0061      # So  SQUARE MA
3384  ; FC_NFKC; 006B 0061      # So  SQUARE KA
3385  ; FC_NFKC; 006B 0062      # So  SQUARE KB
3386  ; FC_NFKC; 006D 0062      # So  SQUARE MB
3387  ; FC_NFKC; 0067 0062      # So  SQUARE GB
338A  ; FC_NFKC; 0070 0066      # So  SQUARE PF
338B  ; FC_NFKC; 006E 0066      # So  SQUARE NF
338C  ; FC_NFKC; 03BC 0066      # So  SQUARE MU F
3390  ; FC_NFKC; 0068 007A      # So  SQUARE HZ
3391  ; FC_NFKC; 006B 0068 007A # So  SQUARE KHZ
3392  ; FC_NFKC; 006D 0068 007A # So  SQUARE MHZ
3393  ; FC_NFKC; 0067 0068 007A # So  SQUARE GHZ
3394  ; FC_NFKC; 0074 0068 007A # So  SQUARE THZ
33A9  ; FC_NFKC; 0070 0061      # So  SQUARE PA
33AA  ; FC_NFKC; 006B 0070 0061 # So  SQUARE KPA
33AB  ; FC_NFKC; 006D 0070 0061 # So  SQUARE MPA
33AC  ; FC_NFKC; 0067 0070 0061 # So  SQUARE GPA
33B4  ; FC_NFKC; 0070 0076      # So  SQUARE PV
33B5  ; FC_NFKC; 006E 0076      # So  SQUARE NV
33B6  ; FC_NFKC; 03BC 0076      # So  SQUARE MU V
33B7  ; FC_NFKC; 006D 0076      # So  SQUARE MV
33B8  ; FC_NFKC; 006B 0076      # So  SQUARE KV
33B9  ; FC_NFKC; 006D 0076      # So  SQUARE MV MEGA
33BA  ; FC_NFKC; 0070 0077      # So  SQUARE PW
33BB  ; FC_NFKC; 006E 0077      # So  SQUARE NW
33BC  ; FC_NFKC; 03BC 0077      # So  SQUARE MU W
33BD  ; FC_NFKC; 006D 0077      # So  SQUARE MW
33BE  ; FC_NFKC; 006B 0077      # So  SQUARE KW
33BF  ; FC_NFKC; 006D 0077      # So  SQUARE MW MEGA
33C0  ; FC_NFKC; 006B 03C9      # So  SQUARE K OHM
33C1  ; FC_NFKC; 006D 03C9      # So  SQUARE M OHM
33C3  ; FC_NFKC; 0062 0071      # So  SQUARE BQ
33C6  ; FC_NFKC; 0063 2215 006B 0067 # So  SQUARE C OVER KG
33C7  ; FC_NFKC; 0063 006F 002E # So  SQUARE CO
33C8  ; FC_NFKC; 0064 0062      # So  SQUARE DB
33C9  ; FC_NFKC; 0067 0079      # So  SQUARE GY
33CB  ; FC_NFKC; 0068 0070      # So  SQUARE HP
33CD  ; FC_NFKC; 006B 006B      # So  SQUARE KK
33CE  ; FC_NFKC; 006B 006D      # So  SQUARE KM CAPITAL
33D7  ; FC_NFKC; 0070 0068      # So  SQUARE PH
33D9  ; FC_NFKC; 0070 0070 006D # So  SQUARE PPM
33DA  ; FC_NFKC; 0070 0072      # So  SQUARE PR
33DC  ; FC_NFKC; 0073 0076      # So  SQUARE SV
33DD  ; FC_NFKC; 0077 0062      # So  SQUARE WB
33DE  ; FC_NFKC; 0076 2215 006D # So  SQUARE V OVER M
33DF  ; FC_NFKC; 0061 2215 006D # So  SQUARE A OVER M
1D400 ; FC_NFKC; 0061           # L&  MATHEMATICAL BOLD CAPITAL A
1D401 ; FC_NFKC; 0062           # L&  MATHEMATICAL BOLD CAPITAL B
