# SPDX-License-Identifier: CC0-1.0
# Generator: x86-cpuid-db v2.4

#
# Auto-generated file.
# Please submit all updates and bugfixes to https://x86-cpuid.org
#

# The basic row format is:
#     LEAF, SUBLEAVES,  reg,    bits,    short_name             , long_description

# Leaf 0H
# Maximum standard leaf number + CPU vendor string

       0x0,         0,  eax,    31:0,    max_std_leaf           , Highest standard CPUID leaf supported
       0x0,         0,  ebx,    31:0,    cpu_vendorid_0         , CPU vendor ID string bytes 0 - 3
       0x0,         0,  ecx,    31:0,    cpu_vendorid_2         , CPU vendor ID string bytes 8 - 11
       0x0,         0,  edx,    31:0,    cpu_vendorid_1         , CPU vendor ID string bytes 4 - 7

# Leaf 1H
# CPU FMS (Family/Model/Stepping) + standard feature flags

       0x1,         0,  eax,     3:0,    stepping               , Stepping ID
       0x1,         0,  eax,     7:4,    base_model             , Base CPU model ID
       0x1,         0,  eax,    11:8,    base_family_id         , Base CPU family ID
       0x1,         0,  eax,   13:12,    cpu_type               , CPU type
       0x1,         0,  eax,   19:16,    ext_model              , Extended CPU model ID
       0x1,         0,  eax,   27:20,    ext_family             , Extended CPU family ID
       0x1,         0,  ebx,     7:0,    brand_id               , Brand index
       0x1,         0,  ebx,    15:8,    clflush_size           , CLFLUSH instruction cache line size
       0x1,         0,  ebx,   23:16,    n_logical_cpu          , Logical CPU count
       0x1,         0,  ebx,   31:24,    local_apic_id          , Initial local APIC physical ID
       0x1,         0,  ecx,       0,    pni                    , Streaming SIMD Extensions 3 (SSE3)
       0x1,         0,  ecx,       1,    pclmulqdq              , PCLMULQDQ instruction support
       0x1,         0,  ecx,       2,    dtes64                 , 64-bit DS save area
       0x1,         0,  ecx,       3,    monitor                , MONITOR/MWAIT support
       0x1,         0,  ecx,       4,    ds_cpl                 , CPL Qualified Debug Store
       0x1,         0,  ecx,       5,    vmx                    , Virtual Machine Extensions
       0x1,         0,  ecx,       6,    smx                    , Safer Mode Extensions
       0x1,         0,  ecx,       7,    est                    , Enhanced Intel SpeedStep
       0x1,         0,  ecx,       8,    tm2                    , Thermal Monitor 2
