#
# $FreeBSD$
#
#	Name:             BIG5 to Unicode table (complete)
#	Unicode version:  1.1
#	Table version:    0.0d3
#	Table format:     Format A
#	Date:             11 February 1994
#
#	Copyright (c) 1991-1994 Unicode, Inc.  All Rights reserved.
#
#	This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#	No claims are made as to fitness for any particular purpose.  No
#	warranties of any kind are expressed or implied.  The recipient
#	agrees to determine applicability of information provided.  If this
#	file has been provided on magnetic media by Unicode, Inc., the sole
#	remedy for any claim will be exchange of defective media within 90
#	days of receipt.
#
#	Recipient is granted the right to make copies in any form for
#	internal distribution and to freely use the information supplied
#	in the creation of products supporting Unicode.  Unicode, Inc.
#	specifically excludes the right to re-distribute this file directly
#	to third parties or other organizations whether for profit or not.
#
#	General notes:
#
#
# This table contains one set of mappings from BIG5 into Unicode.
# Note that these data are *possible* mappings only and may not be the
# same as those used by actual products, nor may they be the best suited
# for all uses.  For more information on the mappings between various code
# pages incorporating the repertoire of BIG5 and Unicode, consult the
# VENDORS mapping data.  Normative information on the mapping between
# BIG5 and Unicode may be found in the Unihan.txt file in the
# latest Unicode Character Database.
#
# If you have carefully considered the fact that the mappings in
# this table are only one possible set of mappings between BIG5 and
# Unicode and have no normative status, but still feel that you
# have located an error in the table that requires fixing, you may
# report any such error to errata@unicode.org.
#
#	WARNING!  It is currently impossible to provide round-trip compatibility
#		between BIG5 and Unicode.  
#
#	A number of characters are not currently mapped because
#		of conflicts with other mappings.  They are as follows:
#
#       BIG5        Description                    Comments
#
#       0xA15A      SPACING UNDERSCORE             duplicates A1C4
#       0xA1C3      SPACING HEAVY OVERSCORE        not in Unicode
#       0xA1C5      SPACING HEAVY UNDERSCORE       not in Unicode
#       0xA1FE      LT DIAG UP RIGHT TO LOW LEFT   duplicates A2AC
#       0xA240      LT DIAG UP LEFT TO LOW RIGHT   duplicates A2AD
#       0xA2CC      HANGZHOU NUMERAL TEN           conflicts with A451 mapping
#       0xA2CE      HANGZHOU NUMERAL THIRTY        conflicts with A4CA mapping
#
#	We currently map all of these characters to U+FFFD REPLACEMENT CHARACTER.
#		It is also possible to map these characters to their duplicates, or to
#		the user zone.  
#	
#	Notes:
#
#	1. In addition to the above, there is some uncertainty about the
#       mappings in the range C6A1 - C8FE, and F9DD - F9FE.  The ETEN
#	version of BIG5 organizes the former range differently, and adds
#	additional characters in the latter range.  The correct mappings
#	these ranges need to be determined.
#
#	2.  There is an uncertainty in the mapping of the Big Five character
#	0xA3BC.  This character occurs within the Big Five block of tone marks
#	for bopomofo and is intended to be the tone mark for the first tone in
#	Mandarin Chinese.  We have selected the mapping U+02C9 MODIFIER LETTER
#	MACRON (Mandarin Chinese first tone) to reflect this semantic.  
#	However, because bopomofo uses the absense of a tone mark to indicate
#	the first Mandarin tone, most implementations of Big Five represent
#	this character with a blank space, and so a mapping such as U+2003 EM
#	SPACE might be preferred.  
#
#	Format:  Three tab-separated columns
#		 Column #1 is the BIG5 code (in hex as 0xXXXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3  is the Unicode name (follows a comment sign, '#')
#			The official names for Unicode characters U+4E00
#			to U+9FA5, inclusive, is "CJK UNIFIED IDEOGRAPH-XXXX",
#			where XXXX is the code point.  Including all these
#			names in this file increases its size substantially
#			and needlessly.  The token "<CJK>" is used for the
#			name of these characters.  If necessary, it can be
#			expanded algorithmically by a parser or editor.
#
#	The entries are in BIG5 order
#
#
0xA140	0x3000	# IDEOGRAPHIC SPACE
0xA141	0xFF0C	# FULLWIDTH COMMA
0xA142	0x3001	# IDEOGRAPHIC COMMA
0xA143	0x3002	# IDEOGRAPHIC FULL STOP
0xA144	0xFF0E	# FULLWIDTH FULL STOP
0xA145	0x2022	# BULLET
0xA146	0xFF1B	# FULLWIDTH SEMICOLON
0xA147	0xFF1A	# FULLWIDTH COLON
0xA148	0xFF1F	# FULLWIDTH QUESTION MARK
0xA149	0xFF01	# FULLWIDTH EXCLAMATION MARK
0xA14A	0xFE30	# PRESENTATION FORM FOR VERTICAL TWO DOT LEADER
0xA14B	0x2026	# HORIZONTAL ELLIPSIS
0xA14C	0x2025	# TWO DOT LEADER
0xA14D	0xFE50	# SMALL COMMA
0xA14E	0xFF64	# HALFWIDTH IDEOGRAPHIC COMMA
0xA14F	0xFE52	# SMALL FULL STOP
0xA150	0x00B7	# MIDDLE DOT
0xA151	0xFE54	# SMALL SEMICOLON
0xA152	0xFE55	# SMALL COLON
0xA153	0xFE56	# SMALL QUESTION MARK
0xA154	0xFE57	# SMALL EXCLAMATION MARK
0xA155	0xFF5C	# FULLWIDTH VERTICAL BAR
0xA156	0x2013	# EN DASH
0xA157	0xFE31	# PRESENTATION FORM FOR VERTICAL EM DASH
0xA158	0x2014	# EM DASH
0xA159	0xFE33	# PRESENTATION FORM FOR VERTICAL LOW LINE
0xA15A	0xFFFD	# *** NO MAPPING ***
0xA15B	0xFE34	# PRESENTATION FORM FOR VERTICAL WAVY LOW LINE
0xA15C	0xFE4F	# WAVY LOW LINE
0xA15D	0xFF08	# FULLWIDTH LEFT PARENTHESIS
0xA15E	0xFF09	# FULLWIDTH RIGHT PARENTHESIS
0xA15F	0xFE35	# PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS
0xA160	0xFE36	# PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS
0xA161	0xFF5B	# FULLWIDTH LEFT CURLY BRACKET
0xA162	0xFF5D	# FULLWIDTH RIGHT CURLY BRACKET
0xA163	0xFE37	# PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET
0xA164	0xFE38	# PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET
0xA165	0x3014	# LEFT TORTOISE SHELL BRACKET
0xA166	0x3015	# RIGHT TORTOISE SHELL BRACKET
0xA167	0xFE39	# PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET
0xA168	0xFE3A	# PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET
0xA169	0x3010	# LEFT BLACK LENTICULAR BRACKET
0xA16A	0x3011	# RIGHT BLACK LENTICULAR BRACKET
0xA16B	0xFE3B	# PRESENTATION FORM FOR VERTICAL LEFT BLACK LENTICULAR BRACKET
0xA16C	0xFE3C	# PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET
0xA16D	0x300A	# LEFT DOUBLE ANGLE BRACKET
0xA16E	0x300B	# RIGHT DOUBLE ANGLE BRACKET
0xA16F	0xFE3D	# PRESENTATION FORM FOR VERTICAL LEFT DOUBLE ANGLE BRACKET
0xA170	0xFE3E	# PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET
0xA171	0x3008	# LEFT ANGLE BRACKET
0xA172	0x3009	# RIGHT ANGLE BRACKET
0xA173	0xFE3F	# PRESENTATION FORM FOR VERTICAL LEFT ANGLE BRACKET
0xA174	0xFE40	# PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET
0xA175	0x300C	# LEFT CORNER BRACKET
0xA176	0x300D	# RIGHT CORNER BRACKET
0xA177	0xFE41	# PRESENTATION FORM FOR VERTICAL LEFT CORNER BRACKET
0xA178	0xFE42	# PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET
0xA179	0x300E	# LEFT WHITE CORNER BRACKET
0xA17A	0x300F	# RIGHT WHITE CORNER BRACKET
0xA17B	0xFE43	# PRESENTATION FORM FOR VERTICAL LEFT WHITE CORNER BRACKET
0xA17C	0xFE44	# PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET
0xA17D	0xFE59	# SMALL LEFT PARENTHESIS
0xA17E	0xFE5A	# SMALL RIGHT PARENTHESIS
0xA1A1	0xFE5B	# SMALL LEFT CURLY BRACKET
0xA1A2	0xFE5C	# SMALL RIGHT CURLY BRACKET
0xA1A3	0xFE5D	# SMALL LEFT TORTOISE SHELL BRACKET
0xA1A4	0xFE5E	# SMALL RIGHT TORTOISE SHELL BRACKET
0xA1A5	0x2018	# LEFT SINGLE QUOTATION MARK
0xA1A6	0x2019	# RIGHT SINGLE QUOTATION MARK
0xA1A7	0x201C	# LEFT DOUBLE QUOTATION MARK
0xA1A8	0x201D	# RIGHT DOUBLE QUOTATION MARK
0xA1A9	0x301D	# REVERSED DOUBLE PRIME QUOTATION MARK
0xA1AA	0x301E	# DOUBLE PRIME QUOTATION MARK
0xA1AB	0x2035	# REVERSED PRIME
0xA1AC	0x2032	# PRIME
0xA1AD	0xFF03	# FULLWIDTH NUMBER SIGN
0xA1AE	0xFF06	# FULLWIDTH AMPERSAND
0xA1AF	0xFF0A	# FULLWIDTH ASTERISK
0xA1B0	0x203B	# REFERENCE MARK
0xA1B1	0x00A7	# SECTION SIGN
0xA1B2	0x3003	# DITTO MARK
0xA1B3	0x25CB	# WHITE CIRCLE
0xA1B4	0x25CF	# BLACK CIRCLE
0xA1B5	0x25B3	# WHITE UP-POINTING TRIANGLE
0xA1B6	0x25B2	# BLACK UP-POINTING TRIANGLE
0xA1B7	0x25CE	# BULLSEYE
0xA1B8	0x2606	# WHITE STAR
0xA1B9	0x2605	# BLACK STAR
0xA1BA	0x25C7	# WHITE DIAMOND
0xA1BB	0x25C6	# BLACK DIAMOND
0xA1BC	0x25A1	# WHITE SQUARE
0xA1BD	0x25A0	# BLACK SQUARE
0xA1BE	0x25BD	# WHITE DOWN-POINTING TRIANGLE
0xA1BF	0x25BC	# BLACK DOWN-POINTING TRIANGLE
0xA1C0	0x32A3	# CIRCLED IDEOGRAPH CORRECT
0xA1C1	0x2105	# CARE OF
0xA1C2	0x203E	# OVERLINE
0xA1C3	0xFFFD	# *** NO MAPPING ***
0xA1C4	0xFF3F	# FULLWIDTH LOW LINE
0xA1C5	0xFFFD	# *** NO MAPPING ***
0xA1C6	0xFE49	# DASHED OVERLINE
0xA1C7	0xFE4A	# CENTRELINE OVERLINE
0xA1C8	0xFE4D	# DASHED LOW LINE
0xA1C9	0xFE4E	# CENTRELINE LOW LINE
0xA1CA	0xFE4B	# WAVY OVERLINE
0xA1CB	0xFE4C	# DOUBLE WAVY OVERLINE
0xA1CC	0xFE5F	# SMALL NUMBER SIGN
0xA1CD	0xFE60	# SMALL AMPERSAND
0xA1CE	0xFE61	# SMALL ASTERISK
0xA1CF	0xFF0B	# FULLWIDTH PLUS SIGN
0xA1D0	0xFF0D	# FULLWIDTH HYPHEN-MINUS
0xA1D1	0x00D7	# MULTIPLICATION SIGN
0xA1D2	0x00F7	# DIVISION SIGN
0xA1D3	0x00B1	# PLUS-MINUS SIGN
0xA1D4	0x221A	# SQUARE ROOT
0xA1D5	0xFF1C	# FULLWIDTH LESS-THAN SIGN
0xA1D6	0xFF1E	# FULLWIDTH GREATER-THAN SIGN
0xA1D7	0xFF1D	# FULLWIDTH EQUALS SIGN
0xA1D8	0x2266	# LESS THAN OVER EQUAL TO
0xA1D9	0x2267	# GREATER THAN OVER EQUAL TO
0xA1DA	0x2260	# NOT EQUAL TO
0xA1DB	0x221E	# INFINITY
0xA1DC	0x2252	# APPROXIMATELY EQUAL TO OR THE IMAGE OF
0xA1DD	0x2261	# IDENTICAL TO
0xA1DE	0xFE62	# SMALL PLUS SIGN
0xA1DF	0xFE63	# SMALL HYPHEN-MINUS
0xA1E0	0xFE64	# SMALL LESS-THAN SIGN
0xA1E1	0xFE65	# SMALL GREATER-THAN SIGN
0xA1E2	0xFE66	# SMALL EQUALS SIGN
0xA1E3	0x223C	# TILDE OPERATOR
0xA1E4	0x2229	# INTERSECTION
0xA1E5	0x222A	# UNION
0xA1E6	0x22A5	# UP TACK
0xA1E7	0x2220	# ANGLE
0xA1E8	0x221F	# RIGHT ANGLE
0xA1E9	0x22BF	# RIGHT TRIANGLE
0xA1EA	0x33D2	# SQUARE LOG
0xA1EB	0x33D1	# SQUARE LN
0xA1EC	0x222B	# INTEGRAL
0xA1ED	0x222E	# CONTOUR INTEGRAL
0xA1EE	0x2235	# BECAUSE
0xA1EF	0x2234	# THEREFORE
0xA1F0	0x2640	# FEMALE SIGN
0xA1F1	0x2642	# MALE SIGN
0xA1F2	0x2641	# EARTH
0xA1F3	0x2609	# SUN
0xA1F4	0x2191	# UPWARDS ARROW
0xA1F5	0x2193	# DOWNWARDS ARROW
0xA1F6	0x2190	# LEFTWARDS ARROW
0xA1F7	0x2192	# RIGHTWARDS ARROW
0xA1F8	0x2196	# NORTH WEST ARROW
0xA1F9	0x2197	# NORTH EAST ARROW
0xA1FA	0x2199	# SOUTH WEST ARROW
0xA1FB	0x2198	# SOUTH EAST ARROW
0xA1FC	0x2225	# PARALLEL TO
0xA1FD	0x2223	# DIVIDES
0xA1FE	0xFFFD	# *** NO MAPPING ***
0xA240	0xFFFD	# *** NO MAPPING ***
0xA241	0xFF0F	# FULLWIDTH SOLIDUS
0xA242	0xFF3C	# FULLWIDTH REVERSE SOLIDUS
0xA243	0xFF04	# FULLWIDTH DOLLAR SIGN
0xA244	0x00A5	# YEN SIGN
0xA245	0x3012	# POSTAL MARK
0xA246	0x00A2	# CENT SIGN
0xA247	0x00A3	# POUND SIGN
0xA248	0xFF05	# FULLWIDTH PERCENT SIGN
0xA249	0xFF20	# FULLWIDTH COMMERCIAL AT
0xA24A	0x2103	# DEGREE CELSIUS
0xA24B	0x2109	# DEGREE FAHRENHEIT
0xA24C	0xFE69	# SMALL DOLLAR SIGN
0xA24D	0xFE6A	# SMALL PERCENT SIGN
0xA24E	0xFE6B	# SMALL COMMERCIAL AT
0xA24F	0x33D5	# SQUARE MIL
0xA250	0x339C	# SQUARE MM
0xA251	0x339D	# SQUARE CM
0xA252	0x339E	# SQUARE KM
0xA253	0x33CE	# SQUARE KM CAPITAL
0xA254	0x33A1	# SQUARE M SQUARED
