#
# $FreeBSD$
#
#	Name:             GB2312-80 to Unicode table (complete, hex format)
#	Unicode version:  3.0
#	Table version:    1.0
#	Table format:     Format A
#	Date:             1999 October 8
#	Author:           Ken Whistler <kenw@sybase.com>
#       Original authors: Glenn Adams, John H. Jenkin <jenkins@apple.com>
#
#	Copyright (c) 1991-1999 Unicode, Inc.  All Rights reserved.
#
#	This file is provided as-is by Unicode, Inc. (The Unicode Consortium).
#	No claims are made as to fitness for any particular purpose.  No
#	warranties of any kind are expressed or implied.  The recipient
#	agrees to determine applicability of information provided.  If this
#	file has been provided on optical media by Unicode, Inc., the sole
#	remedy for any claim will be exchange of defective media within 90
#	days of receipt.
#
#	Unicode, Inc. hereby grants the right to freely use the information
#	supplied in this file in the creation of products supporting the
#	Unicode Standard, and to make copies of this file in any form for
#	internal or external distribution as long as this notice remains
#	attached.
#
#	General notes:
#
#	This table contains the datathe Unicode Consortium currently has on how
#       GB2312-80 characters map into Unicode.
#
#	Format:  Three tab-separated columns
#		 Column #1 is the GB2312 code (in hex as 0xXXXX)
#		 Column #2 is the Unicode (in hex as 0xXXXX)
#		 Column #3 the Unicode name (follows a comment sign, '#')
#					The official names for Unicode characters U+4E00
#					to U+9FA5, inclusive, is "CJK UNIFIED IDEOGRAPH-XXXX",
#					where XXXX is the code point.  Including all these
#					names in this file increases its size substantially
#					and needlessly.  The token "<CJK>" is used for the
#					name of these characters.  If necessary, it can be
#					expanded algorithmically by a parser or editor.
#
#	The entries are in GB2312 order
#
#	The following algorithms can be used to change the hex form
#		of GB2312 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#		To change hex to kuten form, first subtract 0x2020.  Then
#			the high and low bytes correspond to the ku and ten of
#			the kuten form.  For example, 0x2121 -> 0x0101 -> 0101;
#			0x777E -> 0x575E -> 8794
#
#	Version history
#	1.0 version updates 0.0d2 version by correcting mapping for 0x212C
#             from U+2225 to U+2016.
#
#	Updated versions of this file may be found in:
#		<ftp://ftp.unicode.org/Public/MAPPINGS/>
#
#	Any comments or problems, contact <errata@unicode.orgm>
#	Please note that <errata@unicode.org> is an archival address;
#	notices will be checked, but do not expect an immediate response.
#
#
0x2121	0x3000	# IDEOGRAPHIC SPACE
0x2122	0x3001	# IDEOGRAPHIC COMMA
0x2123	0x3002	# IDEOGRAPHIC FULL STOP
0x2124	0x30FB	# KATAKANA MIDDLE DOT
0x2125	0x02C9	# MODIFIER LETTER MACRON (Mandarin Chinese first tone)
0x2126	0x02C7	# CARON (Mandarin Chinese third tone)
0x2127	0x00A8	# DIAERESIS
0x2128	0x3003	# DITTO MARK
0x2129	0x3005	# IDEOGRAPHIC ITERATION MARK
0x212A	0x2015	# HORIZONTAL BAR
0x212B	0xFF5E	# FULLWIDTH TILDE
0x212C	0x2016	# DOUBLE VERTICAL LINE
0x212D	0x2026	# HORIZONTAL ELLIPSIS
0x212E	0x2018	# LEFT SINGLE QUOTATION MARK
0x212F	0x2019	# RIGHT SINGLE QUOTATION MARK
0x2130	0x201C	# LEFT DOUBLE QUOTATION MARK
0x2131	0x201D	# RIGHT DOUBLE QUOTATION MARK
0x2132	0x3014	# LEFT TORTOISE SHELL BRACKET
0x2133	0x3015	# RIGHT TORTOISE SHELL BRACKET
0x2134	0x3008	# LEFT ANGLE BRACKET
0x2135	0x3009	# RIGHT ANGLE BRACKET
0x2136	0x300A	# LEFT DOUBLE ANGLE BRACKET
0x2137	0x300B	# RIGHT DOUBLE ANGLE BRACKET
0x2138	0x300C	# LEFT CORNER BRACKET
0x2139	0x300D	# RIGHT CORNER BRACKET
0x213A	0x300E	# LEFT WHITE CORNER BRACKET
0x213B	0x300F	# RIGHT WHITE CORNER BRACKET
0x213C	0x3016	# LEFT WHITE LENTICULAR BRACKET
0x213D	0x3017	# RIGHT WHITE LENTICULAR BRACKET
0x213E	0x3010	# LEFT BLACK LENTICULAR BRACKET
0x213F	0x3011	# RIGHT BLACK LENTICULAR BRACKET
0x2140	0x00B1	# PLUS-MINUS SIGN
0x2141	0x00D7	# MULTIPLICATION SIGN
0x2142	0x00F7	# DIVISION SIGN
0x2143	0x2236	# RATIO
0x2144	0x2227	# LOGICAL AND
0x2145	0x2228	# LOGICAL OR
0x2146	0x2211	# N-ARY SUMMATION
0x2147	0x220F	# N-ARY PRODUCT
0x2148	0x222A	# UNION
0x2149	0x2229	# INTERSECTION
0x214A	0x2208	# ELEMENT OF
0x214B	0x2237	# PROPORTION
0x214C	0x221A	# SQUARE ROOT
0x214D	0x22A5	# UP TACK
0x214E	0x2225	# PARALLEL TO
0x214F	0x2220	# ANGLE
0x2150	0x2312	# ARC
0x2151	0x2299	# CIRCLED DOT OPERATOR
0x2152	0x222B	# INTEGRAL
0x2153	0x222E	# CONTOUR INTEGRAL
0x2154	0x2261	# IDENTICAL TO
0x2155	0x224C	# ALL EQUAL TO
0x2156	0x2248	# ALMOST EQUAL TO
0x2157	0x223D	# REVERSED TILDE
0x2158	0x221D	# PROPORTIONAL TO
0x2159	0x2260	# NOT EQUAL TO
