#
# $FreeBSD$
#
# Obtained from libiconv-0.13.1
#
0x00	0x0000
0x01	0x0001
0x02	0x0002
0x03	0x0003
0x04	0x0004
0x05	0x0005
0x06	0x0006
0x07	0x0007
0x08	0x0008
0x09	0x0009
0x0A	0x000A
0x0B	0x000B
0x0C	0x000C
0x0D	0x000D
0x0E	0x000E
0x0F	0x000F
0x10	0x0010
0x11	0x0011
0x12	0x0012
0x13	0x0013
0x14	0x0014
0x15	0x0015
0x16	0x0016
0x17	0x0017
0x18	0x0018
0x19	0x0019
0x1A	0x001A
0x1B	0x001B
0x1C	0x001C
0x1D	0x001D
0x1E	0x001E
0x1F	0x001F
0x20	0x0020
0x21	0x0021
0x22	0x0022
0x23	0x0023
0x24	0x0024
0x25	0x0025
0x26	0x0026
0x27	0x0027
0x28	0x0028
0x29	0x0029
0x2A	0x002A
0x2B	0x002B
0x2C	0x002C
0x2D	0x002D
0x2E	0x002E
0x2F	0x002F
0x30	0x0030
0x31	0x0031
0x32	0x0032
0x33	0x0033
0x34	0x0034
0x35	0x0035
0x36	0x0036
0x37	0x0037
0x38	0x0038
0x39	0x0039
0x3A	0x003A
0x3B	0x003B
0x3C	0x003C
0x3D	0x003D
0x3E	0x003E
0x3F	0x003F
0x40	0x0040
0x41	0x0041
0x42	0x0042
0x43	0x0043
0x44	0x0044
0x45	0x0045
0x46	0x0046
0x47	0x0047
0x48	0x0048
0x49	0x0049
0x4A	0x004A
0x4B	0x004B
0x4C	0x004C
0x4D	0x004D
0x4E	0x004E
0x4F	0x004F
0x50	0x0050
0x51	0x0051
0x52	0x0052
0x53	0x0053
0x54	0x0054
0x55	0x0055
0x56	0x0056
0x57	0x0057
0x58	0x0058
0x59	0x0059
0x5A	0x005A
0x5B	0x005B
0x5C	0x00A5
0x5D	0x005D
0x5E	0x005E
0x5F	0x005F
0x60	0x0060
0x61	0x0061
0x62	0x0062
0x63	0x0063
0x64	0x0064
0x65	0x0065
0x66	0x0066
0x67	0x0067
0x68	0x0068
0x69	0x0069
0x6A	0x006A
0x6B	0x006B
0x6C	0x006C
0x6D	0x006D
0x6E	0x006E
0x6F	0x006F
0x70	0x0070
0x71	0x0071
0x72	0x0072
0x73	0x0073
0x74	0x0074
0x75	0x0075
0x76	0x0076
0x77	0x0077
0x78	0x0078
0x79	0x0079
0x7A	0x007A
0x7B	0x007B
0x7C	0x007C
0x7D	0x007D
0x7E	0x203E
0x7F	0x007F
0x8140	0x3000
0x8141	0x3001
0x8142	0x3002
0x8143	0xFF0C
0x8144	0xFF0E
0x8145	0x30FB
0x8146	0xFF1A
0x8147	0xFF1B
0x8148	0xFF1F
0x8149	0xFF01
0x814A	0x309B
0x814B	0x309C
0x814C	0x00B4
0x814D	0xFF40
0x814E	0x00A8
0x814F	0xFF3E
0x8150	0xFFE3
0x8151	0xFF3F
0x8152	0x30FD
0x8153	0x30FE
0x8154	0x309D
0x8155	0x309E
0x8156	0x3003
0x8157	0x4EDD
0x8158	0x3005
0x8159	0x3006
0x815A	0x3007
0x815B	0x30FC
0x815C	0x2014
0x815D	0x2010
0x815E	0xFF0F
0x815F	0xFF3C
0x8160	0x301C
0x8161	0x2016
0x8162	0xFF5C
0x8163	0x2026
0x8164	0x2025
0x8165	0x2018
0x8166	0x2019
0x8167	0x201C
0x8168	0x201D
0x8169	0xFF08
0x816A	0xFF09
0x816B	0x3014
0x816C	0x3015
0x816D	0xFF3B
0x816E	0xFF3D
0x816F	0xFF5B
0x8170	0xFF5D
0x8171	0x3008
0x8172	0x3009
0x8173	0x300A
0x8174	0x300B
0x8175	0x300C
0x8176	0x300D
0x8177	0x300E
0x8178	0x300F
0x8179	0x3010
0x817A	0x3011
0x817B	0xFF0B
0x817C	0x2212
0x817D	0x00B1
0x817E	0x00D7
0x8180	0x00F7
0x8181	0xFF1D
0x8182	0x2260
0x8183	0xFF1C
0x8184	0xFF1E
0x8185	0x2266
0x8186	0x2267
0x8187	0x221E
0x8188	0x2234
0x8189	0x2642
0x818A	0x2640
0x818B	0x00B0
0x818C	0x2032
0x818D	0x2033
0x818E	0x2103
0x818F	0xFFE5
0x8190	0xFF04
0x8191	0x00A2
0x8192	0x00A3
0x8193	0xFF05
0x8194	0xFF03
0x8195	0xFF06
0x8196	0xFF0A
0x8197	0xFF20
0x8198	0x00A7
0x8199	0x2606
0x819A	0x2605
0x819B	0x25CB
0x819C	0x25CF
0x819D	0x25CE
0x819E	0x25C7
0x819F	0x25C6
0x81A0	0x25A1
0x81A1	0x25A0
0x81A2	0x25B3
0x81A3	0x25B2
0x81A4	0x25BD
0x81A5	0x25BC
0x81A6	0x203B
