#
# $FreeBSD$
#
#	Name:             eucCN-80 to Unicode table (complete, hex format)
#	Based on the GB2312.TXT
#
#	General notes:
#
#	The following algorithms can be used to change the hex form
#		of GB2312 to other standard forms:
#
#		To change hex to EUC form, add 0x8080
#
0xA1A1	0x3000	# IDEOGRAPHIC SPACE
0xA1A2	0x3001	# IDEOGRAPHIC COMMA
0xA1A3	0x3002	# IDEOGRAPHIC FULL STOP
0xA1A4	0x30FB	# KATAKANA MIDDLE DOT
0xA1A5	0x02C9	# MODIFIER LETTER MACRON (Mandarin Chinese first tone)
0xA1A6	0x02C7	# CARON (Mandarin Chinese third tone)
0xA1A7	0x00A8	# DIAERESIS
0xA1A8	0x3003	# DITTO MARK
0xA1A9	0x3005	# IDEOGRAPHIC ITERATION MARK
0xA1AA	0x2015	# HORIZONTAL BAR
0xA1AB	0xFF5E	# FULLWIDTH TILDE
0xA1AC	0x2016	# DOUBLE VERTICAL LINE
0xA1AD	0x2026	# HORIZONTAL ELLIPSIS
0xA1AE	0x2018	# LEFT SINGLE QUOTATION MARK
0xA1AF	0x2019	# RIGHT SINGLE QUOTATION MARK
0xA1B0	0x201C	# LEFT DOUBLE QUOTATION MARK
0xA1B1	0x201D	# RIGHT DOUBLE QUOTATION MARK
0xA1B2	0x3014	# LEFT TORTOISE SHELL BRACKET
0xA1B3	0x3015	# RIGHT TORTOISE SHELL BRACKET
0xA1B4	0x3008	# LEFT ANGLE BRACKET
0xA1B5	0x3009	# RIGHT ANGLE BRACKET
0xA1B6	0x300A	# LEFT DOUBLE ANGLE BRACKET
0xA1B7	0x300B	# RIGHT DOUBLE ANGLE BRACKET
0xA1B8	0x300C	# LEFT CORNER BRACKET
0xA1B9	0x300D	# RIGHT CORNER BRACKET
0xA1BA	0x300E	# LEFT WHITE CORNER BRACKET
0xA1BB	0x300F	# RIGHT WHITE CORNER BRACKET
0xA1BC	0x3016	# LEFT WHITE LENTICULAR BRACKET
0xA1BD	0x3017	# RIGHT WHITE LENTICULAR BRACKET
0xA1BE	0x3010	# LEFT BLACK LENTICULAR BRACKET
0xA1BF	0x3011	# RIGHT BLACK LENTICULAR BRACKET
0xA1C0	0x00B1	# PLUS-MINUS SIGN
0xA1C1	0x00D7	# MULTIPLICATION SIGN
0xA1C2	0x00F7	# DIVISION SIGN
0xA1C3	0x2236	# RATIO
0xA1C4	0x2227	# LOGICAL AND
